,cnt,doc,word
171,1,2,26
172,1,2,119
173,1,2,72
174,2,2,75
175,2,2,132
176,2,2,137
177,3,2,37
178,1,2,25
179,3,2,32
180,2,2,53
181,4,2,9
182,2,2,116
183,3,2,5
184,2,2,6
185,2,2,67
186,7,2,42
187,4,2,107
188,1,2,46
189,1,2,28
190,4,2,31
191,1,2,131
192,2,2,105
193,6,2,11
194,2,2,40
195,3,2,22
196,2,2,17
197,2,2,144
198,2,2,33
199,1,2,76
200,1,2,29
201,3,2,94
202,4,2,79
203,5,2,84
204,2,2,10
205,3,2,125
206,1,2,117
207,4,2,73
208,1,2,136
209,2,2,74
210,1,2,96
211,1,2,66
212,2,2,36
213,1,2,69
214,2,2,114
215,1,2,14
216,1,2,41
217,2,2,98
218,2,2,127
219,3,2,100
220,2,2,121
221,2,2,86
222,1,2,71
223,1,2,51
224,1,2,143
225,1,2,139
226,1,2,52
227,1,2,15
228,3,2,128
229,1,2,133
230,1,2,134
231,1,2,82
232,1,2,8
233,1,2,34
234,1,2,77
235,1,2,59
236,1,2,112
237,1,2,63
238,3,3,17
239,5,3,100
240,1,3,67
241,2,3,59
242,6,3,142
243,1,3,119
244,2,3,105
245,2,3,124
246,1,3,90
247,6,3,101
248,1,3,129
249,7,3,32
250,2,3,27
251,4,3,16
252,1,3,136
253,2,3,93
254,1,3,143
255,4,3,26
256,3,3,5
257,6,3,45
258,10,3,42
259,4,3,84
260,4,3,91
261,2,3,44
262,4,3,11
263,2,3,61
264,1,3,109
265,2,3,102
266,3,3,108
267,3,3,19
268,2,3,144
269,1,3,110
270,1,3,12
271,1,3,125
272,4,3,127
273,3,3,98
274,3,3,89
275,1,3,4
276,1,3,113
277,2,3,140
278,1,3,88
279,1,3,85
280,2,3,70
281,2,3,81
282,1,3,2
283,2,3,41
284,1,3,68
285,1,3,55
286,3,3,114
287,2,3,132
288,2,3,25
289,2,3,83
290,1,3,37
291,2,3,73
292,1,3,96
293,4,3,94
294,1,3,69
295,1,3,86
296,1,3,13
297,3,3,77
298,1,3,131
299,1,3,123
300,3,3,87
301,3,3,111
302,2,3,54
303,1,3,118
304,2,3,121
305,1,3,97
306,2,3,134
307,2,3,128
308,1,3,104
309,2,3,80
310,1,3,29
311,1,3,135
312,1,3,24
313,1,3,28
314,1,3,76
315,1,3,79
316,2,3,40
317,1,3,117
318,1,3,107
319,1,3,31
320,1,3,95
321,1,3,139
322,1,3,36
323,1,3,7
324,1,3,63
325,1,3,1
326,1,3,62
327,2,3,137
328,1,3,14
329,1,3,74
330,1,3,30
331,1,3,115
332,1,3,46
333,1,3,75
334,2,3,52
335,1,4,128
336,1,4,70
337,6,4,84
338,1,4,23
339,2,4,87
340,4,4,90
341,5,4,107
342,4,4,19
343,2,4,140
344,7,4,66
345,9,4,114
346,2,4,45
347,3,4,16
348,1,4,34
349,5,4,100
350,2,4,129
351,2,4,47
352,3,4,74
353,3,4,99
354,3,4,134
355,1,4,62
356,4,4,125
357,5,4,76
358,1,4,113
359,1,4,130
360,7,4,42
361,1,4,75
362,3,4,109
363,2,4,102
364,2,4,144
365,5,4,52
366,2,4,143
367,1,4,73
368,5,4,127
369,4,4,139
370,2,4,41
371,5,4,136
372,6,4,67
373,4,4,37
374,2,4,11
375,1,4,69
376,3,4,91
377,3,4,40
378,2,4,30
379,1,4,132
380,3,4,94
381,2,4,5
382,2,4,22
383,1,4,25
384,1,4,108
385,2,4,28
386,4,4,137
387,1,4,57
388,2,4,53
389,2,4,124
390,2,4,111
391,1,4,77
392,3,4,32
393,1,4,56
394,2,4,17
395,1,4,138
396,1,4,3
397,2,4,98
398,1,4,117
399,2,4,121
400,1,4,49
401,1,4,59
402,1,4,18
403,1,4,112
404,1,4,7
405,1,4,105
406,1,4,79
407,1,4,9
408,1,4,29
409,1,4,33
410,2,4,103
411,1,4,31
412,1,4,142
413,1,5,111
414,1,5,133
415,1,5,75
416,3,5,45
417,2,5,40
418,3,5,10
419,1,5,6
420,3,5,117
421,1,5,142
422,2,5,46
423,1,5,85
424,3,5,82
425,2,5,87
426,1,5,80
427,2,5,137
428,2,5,114
429,1,5,59
430,1,5,125
431,1,5,96
432,3,5,91
433,4,5,103
434,1,5,122
435,3,5,52
436,1,5,123
437,1,5,26
438,4,5,73
439,1,5,100
440,7,5,108
441,1,5,43
442,1,5,14
443,2,5,115
444,1,5,18
445,1,5,89
446,7,5,11
447,1,5,33
448,2,5,83
449,4,5,69
450,7,5,42
451,5,5,70
452,1,5,118
453,1,5,72
454,4,5,37
455,1,5,61
456,3,5,93
457,1,5,107
458,1,5,67
459,1,5,98
460,1,5,110
461,1,5,12
462,2,5,9
463,4,5,28
464,1,5,13
465,1,5,30
466,1,5,76
467,1,5,134
468,1,5,84
469,1,5,102
470,1,5,95
471,2,5,32
472,1,5,23
473,1,5,68
474,1,5,121
475,2,5,22
476,1,5,139
477,1,5,128
478,1,5,86
479,3,6,11
480,2,6,144
481,2,6,103
482,1,6,10
483,1,6,28
484,1,6,56
485,1,6,9
486,2,6,74
487,2,6,37
488,4,6,76
489,6,6,107
490,2,6,17
491,6,6,108
492,2,6,84
493,1,6,143
494,1,6,120
495,2,6,58
496,1,6,96
497,1,6,114
498,2,6,142
499,3,6,101
500,1,6,16
501,1,6,93
502,3,6,98
503,2,6,137
504,1,6,109
505,2,6,105
506,1,6,134
507,2,6,66
508,1,6,110
509,3,6,70
510,1,6,46
511,1,6,72
512,2,6,41
513,1,6,60
514,2,6,121
515,1,6,69
516,1,6,100
517,1,6,87
518,1,6,32
519,1,6,27
520,1,6,29
521,2,6,65
522,3,6,45
523,1,6,13
524,1,6,132
525,1,6,127
526,1,6,122
527,1,6,97
528,1,6,59
529,3,6,128
530,1,6,52
531,1,6,79
532,1,6,85
533,1,6,117
534,1,6,18
535,1,6,139
536,3,7,5
537,2,7,13
538,5,7,42
539,4,7,102
540,1,7,128
541,2,7,76
542,2,7,66
543,3,7,45
544,3,7,19
545,1,7,142
546,3,7,57
547,1,7,99
548,1,7,127
549,3,7,121
550,1,7,63
551,4,7,108
552,3,7,74
553,2,7,54
554,1,7,105
555,1,7,100
556,5,7,73
557,4,7,137
558,4,7,67
559,3,7,39
560,1,7,34
561,2,7,52
562,2,7,94
563,2,7,16
564,3,7,115
565,2,7,32
566,2,7,98
567,2,7,3
568,1,7,140
569,4,7,144
570,1,7,46
571,3,7,75
572,1,7,28
573,1,7,93
574,3,7,141
575,2,7,132
576,3,7,95
577,1,7,8
578,1,7,85
579,2,7,41
580,4,7,90
581,4,7,107
582,2,7,9
583,1,7,29
584,2,7,139
585,3,7,80
586,4,7,109
587,5,7,11
588,2,7,22
589,2,7,103
590,2,7,84
591,1,7,40
592,4,7,47
593,2,7,27
594,2,7,53
595,5,7,116
596,2,7,112
597,3,7,91
598,4,7,114
599,1,7,17
600,2,7,61
601,1,7,86
602,1,7,65
603,1,7,125
604,1,7,143
605,1,7,1
606,1,7,68
607,4,7,136
608,1,7,92
609,3,7,31
610,1,7,7
611,1,7,6
612,1,7,89
613,1,7,77
614,2,7,71
615,1,7,48
616,1,7,113
617,1,7,38
618,1,7,117
619,1,7,129
620,1,7,70
621,1,8,133
622,1,8,27
623,5,8,107
624,3,8,103
625,2,8,17
626,1,8,64
627,1,8,34
628,1,8,96
629,2,8,18
630,1,8,54
631,1,8,90
632,3,8,32
633,1,8,73
634,3,8,114
635,5,8,66
636,2,8,46
637,1,8,48
638,2,8,109
639,1,8,52
640,3,8,99
641,3,8,108
642,1,8,128
643,1,8,22
644,5,8,139
645,3,8,41
646,3,8,47
647,3,8,70
648,5,8,140
649,1,8,144
650,1,8,110
651,7,8,100
652,1,8,75
653,2,8,26
654,1,8,85
655,1,8,40
656,2,8,87
657,3,8,141
658,3,8,57
659,1,8,30
660,2,8,69
661,3,8,94
662,3,8,78
663,1,8,31
664,3,8,136
665,2,8,127
666,2,8,89
667,1,8,129
668,1,8,121
669,3,8,39
670,2,8,111
671,2,8,55
672,4,8,95
673,2,8,67
674,2,8,79
675,2,8,80
676,1,8,131
677,1,8,60
678,1,8,115
679,1,8,88
680,1,8,36
681,2,8,45
682,3,8,81
683,1,8,14
684,1,8,9
685,1,8,125
686,2,8,84
687,1,8,44
688,2,8,5
689,1,8,124
690,1,8,113
691,1,8,101
692,2,8,134
693,1,8,3
694,1,8,105
695,1,8,102
696,1,8,106
697,2,8,62
698,1,8,142
699,1,8,1
700,1,8,50
701,1,8,49
702,1,8,43
703,1,8,6
704,1,8,63
705,1,8,98
706,1,8,77
707,1,8,8
708,1,8,16
709,1,8,91
710,1,9,50
711,1,9,6
712,3,9,42
713,1,9,69
714,4,9,114
715,4,9,108
716,5,9,100
717,1,9,90
718,1,9,141
719,1,9,5
720,1,9,9
721,1,9,84
722,2,9,61
723,3,9,142
724,1,9,41
725,2,9,128
726,1,9,34
727,2,9,31
728,1,9,83
729,2,9,14
730,1,9,39
731,1,9,77
732,1,9,115
733,3,9,52
734,2,9,28
735,1,9,80
736,3,9,11
737,4,9,32
738,1,9,78
739,1,9,40
740,1,9,82
741,1,9,120
742,1,9,22
743,1,9,132
744,1,9,125
745,1,9,29
746,2,9,3
747,1,9,136
748,1,9,98
749,2,9,107
750,1,9,134
751,1,9,47
752,1,9,57
753,1,9,133
754,1,9,67
755,1,9,139
756,1,9,13
757,2,10,143
758,1,10,131
759,1,10,104
760,4,10,129
761,1,10,124
762,3,10,41
763,3,10,47
764,1,10,16
765,1,10,110
766,1,10,6
767,1,10,19
768,3,10,101
769,2,10,59
770,2,10,115
771,4,10,73
772,5,10,79
773,4,10,11
774,1,10,99
775,1,10,39
776,1,10,128
777,1,10,98
778,2,10,68
779,2,10,70
780,1,10,82
781,1,10,74
782,2,10,102
783,1,10,20
784,2,10,91
785,1,10,89
786,2,10,32
787,1,10,52
788,1,10,22
789,2,10,37
790,1,10,138
791,1,10,142
792,1,10,13
793,1,10,100
794,1,10,9
795,2,10,8
796,1,10,67
797,2,10,118
798,1,10,55
799,1,10,144
800,1,10,31
801,1,10,53
802,1,10,132
803,2,10,97
804,2,10,45
805,1,10,65
806,1,10,14
807,1,10,83
808,1,10,140
809,1,10,108
810,1,10,114
811,1,10,76
812,1,10,139
813,1,10,136
814,2,11,27
815,1,11,78
816,4,11,76
817,2,11,19
818,3,11,101
819,1,11,111
820,1,11,46
821,1,11,51
822,2,11,116
823,3,11,35
824,1,11,18
825,6,11,45
826,1,11,122
827,4,11,115
828,4,11,91
829,1,11,31
830,1,11,83
831,1,11,10
832,2,11,26
833,2,11,20
834,3,11,38
835,1,11,121
836,1,11,129
837,1,11,79
838,2,11,89
839,1,11,44
840,2,11,127
841,1,11,13
842,1,11,4
843,1,11,29
844,2,11,74
845,1,11,137
846,1,11,85
847,1,11,11
848,1,11,9
849,3,11,105
850,1,11,5
851,2,11,103
852,1,11,82
853,2,11,40
854,2,11,72
855,1,11,128
856,1,11,112
857,1,11,77
858,1,11,68
859,1,11,92
860,1,11,43
861,1,11,125
862,2,11,94
863,1,11,1
864,1,11,90
865,2,11,136
866,1,11,143
867,1,11,25
868,1,11,55
869,1,11,119
870,1,11,54
871,1,11,73
872,1,11,114
873,1,11,102
874,1,11,14
875,1,11,144
876,1,11,98
877,1,11,8
878,1,11,49
879,1,11,15
880,1,12,113
881,2,12,100
882,2,12,92
883,3,12,105
884,4,12,107
885,1,12,102
886,2,12,53
887,2,12,80
888,4,12,9
889,3,12,40
890,3,12,74
891,3,12,132
892,3,12,117
893,2,12,34
894,4,12,90
895,4,12,37
896,2,12,112
897,3,12,83
898,2,12,98
899,4,12,137
900,2,12,77
901,1,12,35
902,3,12,127
903,1,12,49
904,2,12,11
905,1,12,16
906,1,12,89
907,2,12,99
908,1,12,26
909,2,12,72
910,5,12,94
911,4,12,17
912,2,12,81
913,1,12,131
914,3,12,18
915,4,12,19
916,3,12,13
917,2,12,121
918,2,12,73
919,1,12,111
920,5,12,67
921,2,12,101
922,2,12,76
923,7,12,45
924,1,12,2
925,2,12,119
926,1,12,23
927,1,12,63
928,2,12,79
929,2,12,128
930,1,12,82
931,1,12,104
932,1,12,57
933,1,12,15
934,1,12,136
935,1,12,115
936,2,12,6
937,1,12,144
938,1,12,97
939,1,12,36
940,1,12,87
941,1,12,61
942,1,12,66
943,1,12,70
944,1,12,31
945,1,12,39
946,1,12,129
947,2,12,91
948,1,12,42
949,1,12,108
950,1,12,65
951,1,13,132
952,2,13,69
953,1,13,51
954,5,13,59
955,3,13,109
956,1,13,37
957,1,13,113
958,2,13,126
959,2,13,130
960,1,13,49
961,1,13,79
962,2,13,127
963,3,13,105
964,5,13,107
965,1,13,72
966,3,13,90
967,5,13,140
968,2,13,41
969,1,13,28
970,5,13,9
971,1,13,115
972,1,13,91
973,1,13,47
974,1,13,138
975,2,13,55
976,3,13,108
977,1,13,77
978,2,13,95
979,1,13,45
980,1,13,33
981,4,13,19
982,1,13,134
983,1,13,89
984,1,13,34
985,1,13,136
986,1,13,81
987,2,13,135
988,1,13,11
989,2,13,27
990,2,13,128
991,2,13,57
992,1,13,131
993,2,13,103
994,1,13,121
995,2,13,106
996,1,13,60
997,1,13,117
998,1,13,13
999,1,13,116
1000,1,13,88
1001,1,13,53
1002,1,13,15
1003,1,13,80
1004,1,13,1
1005,1,13,36
1006,1,13,18
1007,1,13,104
1008,1,13,85
1009,3,14,141
1010,2,14,66
1011,4,14,107
1012,1,14,119
1013,2,14,32
1014,1,14,144
1015,1,14,130
1016,3,14,94
1017,4,14,84
1018,1,14,137
1019,6,14,5
1020,1,14,105
1021,9,14,124
1022,3,14,140
1023,7,14,108
1024,3,14,113
1025,2,14,14
1026,2,14,76
1027,5,14,109
1028,1,14,61
1029,6,14,45
1030,2,14,19
1031,2,14,70
1032,2,14,83
1033,2,14,28
1034,3,14,136
1035,2,14,104
1036,4,14,46
1037,4,14,9
1038,2,14,106
1039,1,14,132
1040,1,14,41
1041,3,14,103
1042,1,14,86
1043,4,14,121
1044,1,14,110
1045,1,14,77
1046,1,14,99
1047,3,14,33
1048,1,14,129
1049,2,14,78
1050,2,14,139
1051,2,14,142
1052,3,14,18
1053,2,14,80
1054,1,14,35
1055,2,14,58
1056,1,14,117
1057,2,14,98
1058,2,14,128
1059,2,14,37
1060,2,14,73
1061,1,14,126
1062,5,14,91
1063,1,14,62
1064,1,14,69
1065,1,14,15
1066,1,14,71
1067,4,14,47
1068,1,14,87
1069,1,14,123
1070,1,14,88
1071,2,14,127
1072,2,14,134
1073,2,14,22
1074,1,14,81
1075,4,14,11
1076,1,14,56
1077,2,14,3
1078,2,14,102
1079,2,14,38
1080,1,14,59
1081,1,14,131
1082,1,14,23
1083,1,14,16
1084,1,14,40
1085,1,14,74
1086,2,14,6
1087,1,14,42
1088,1,14,101
1089,1,14,112
1090,1,14,75
1091,1,14,8
1092,1,14,31
1093,1,14,115
1094,1,14,143
1095,1,15,22
1096,1,15,38
1097,5,15,130
1098,4,15,100
1099,4,15,42
1100,3,15,67
1101,2,15,84
1102,1,15,50
1103,3,15,55
1104,3,15,66
1105,2,15,136
1106,5,15,111
1107,1,15,56
1108,2,15,79
1109,4,15,40
1110,1,15,53
1111,1,15,94
1112,1,15,143
1113,5,15,32
1114,2,15,138
1115,2,15,76
1116,6,15,91
1117,2,15,108
1118,4,15,125
1119,4,15,74
1120,2,15,73
1121,1,15,70
1122,1,15,39
1123,4,15,9
1124,1,15,18
1125,3,15,134
1126,4,15,45
1127,2,15,16
1128,1,15,80
1129,1,15,86
1130,1,15,77
1131,1,15,35
1132,1,15,19
1133,1,15,128
1134,2,15,142
1135,1,15,41
1136,2,15,114
1137,2,15,127
1138,1,15,8
1139,1,15,27
1140,2,15,103
1141,1,15,137
1142,1,15,87
1143,1,15,3
1144,2,15,98
1145,3,15,11
1146,1,15,121
1147,1,15,68
1148,2,15,52
1149,1,15,65
1150,1,15,48
1151,1,15,31
1152,1,15,81
1153,1,15,115
1154,1,15,37
1155,1,15,117
1156,1,15,112
1157,1,15,34
1158,1,15,17
1159,1,15,105
1160,3,16,70
1161,1,16,128
1162,9,16,144
1163,5,16,127
1164,7,16,47
1165,4,16,132
1166,3,16,75
1167,5,16,77
1168,5,16,41
1169,2,16,64
1170,1,16,97
1171,7,16,45
1172,2,16,108
1173,5,16,137
1174,3,16,46
1175,8,16,121
1176,4,16,32
1177,4,16,109
1178,2,16,37
1179,3,16,100
1180,2,16,5
1181,2,16,9
1182,1,16,81
1183,1,16,116
1184,1,16,112
1185,2,16,78
1186,3,16,18
1187,8,16,90
1188,1,16,125
1189,9,16,66
1190,7,16,74
1191,5,16,67
1192,2,16,95
1193,4,16,91
1194,3,16,11
1195,3,16,79
1196,3,16,141
1197,4,16,131
1198,3,16,25
1199,1,16,124
1200,3,16,89
1201,1,16,35
1202,3,16,117
1203,9,16,57
1204,1,16,73
1205,1,16,107
1206,2,16,99
1207,1,16,130
1208,2,16,102
1209,2,16,93
1210,6,16,134
1211,2,16,63
1212,1,16,119
1213,1,16,38
1214,3,16,27
1215,1,16,2
1216,2,16,123
1217,5,16,126
1218,2,16,76
1219,1,16,29
1220,1,16,22
1221,1,16,143
1222,2,16,10
1223,1,16,68
1224,1,16,52
1225,1,16,96
1226,1,16,6
1227,1,16,103
1228,1,16,83
1229,2,16,39
1230,3,16,53
1231,1,16,69
1232,1,16,110
1233,1,16,19
1234,1,16,65
1235,1,16,82
1236,1,16,51
1237,1,16,94
1238,2,16,140
1239,1,16,87
1240,1,16,135
1241,1,16,34
1242,1,16,17
1243,1,16,84
1244,1,16,28
1245,1,16,31
1246,1,16,98
1247,1,16,71
1248,1,16,60
1249,1,16,106
1250,1,16,48
1251,1,16,136
1252,1,16,24
1253,1,16,30
1254,1,17,144
1255,5,17,76
1256,2,17,20
1257,1,17,77
1258,1,17,98
1259,3,17,142
1260,3,17,121
1261,7,17,66
1262,3,17,28
1263,4,17,136
1264,2,17,16
1265,3,17,103
1266,1,17,122
1267,2,17,90
1268,2,17,75
1269,3,17,108
1270,1,17,57
1271,3,17,38
1272,5,17,102
1273,1,17,129
1274,3,17,140
1275,2,17,115
1276,7,17,94
1277,4,17,45
1278,3,17,74
1279,1,17,100
1280,1,17,79
1281,4,17,91
1282,1,17,84
1283,3,17,41
1284,6,17,69
1285,3,17,95
1286,3,17,17
1287,2,17,134
1288,3,17,5
1289,1,17,89
1290,1,17,127
1291,2,17,118
1292,1,17,125
1293,1,17,113
1294,1,17,105
1295,1,17,123
1296,2,17,59
1297,2,17,52
1298,1,17,128
1299,2,17,114
1300,1,17,24
1301,1,17,19
1302,1,17,67
1303,5,17,9
1304,2,17,139
1305,2,17,18
1306,1,17,13
1307,1,17,4
1308,3,17,101
1309,1,17,47
1310,3,17,107
1311,2,17,11
1312,2,17,62
1313,1,17,64
1314,3,17,31
1315,1,17,72
1316,2,17,15
1317,1,17,109
1318,2,17,80
1319,1,17,135
1320,2,17,6
1321,1,17,44
1322,1,17,92
1323,1,17,82
1324,2,17,32
1325,1,17,42
1326,1,17,99
1327,1,17,43
1328,1,17,124
1329,1,17,29
1330,1,17,22
1331,1,17,106
1332,1,17,58
1333,1,17,39
1334,1,17,112
1335,1,17,126
1336,1,17,53
1337,1,18,55
1338,3,18,140
1339,1,18,93
1340,1,18,67
1341,1,18,73
1342,1,18,23
1343,3,18,70
1344,2,18,141
1345,5,18,144
1346,4,18,9
1347,3,18,41
1348,3,18,68
1349,1,18,89
1350,2,18,110
1351,3,18,134
1352,2,18,135
1353,2,18,10
1354,2,18,40
1355,2,18,103
1356,5,18,114
1357,3,18,78
1358,2,18,108
1359,7,18,115
1360,3,18,57
1361,1,18,83
1362,1,18,49
1363,1,18,139
1364,1,18,63
1365,1,18,143
1366,2,18,51
1367,5,18,16
1368,1,18,76
1369,1,18,88
1370,9,18,11
1371,2,18,94
1372,1,18,62
1373,1,18,5
1374,1,18,37
1375,2,18,34
1376,2,18,111
1377,3,18,128
1378,2,18,90
1379,1,18,47
1380,1,18,54
1381,3,18,98
1382,5,18,79
1383,1,18,116
1384,2,18,102
1385,1,18,12
1386,1,18,69
1387,1,18,66
1388,2,18,45
1389,2,18,127
1390,1,18,87
1391,1,18,121
1392,1,18,17
1393,1,18,53
1394,2,18,32
1395,1,18,109
1396,1,18,65
1397,1,18,2
1398,1,18,46
1399,1,18,95
1400,1,18,26
1401,1,18,35
1402,2,18,91
1403,1,18,107
1404,1,18,84
1405,1,18,3
1406,1,18,80
1407,1,18,131
1408,1,18,19
1409,1,18,133
1410,1,18,8
1411,1,18,64
1412,1,19,38
1413,2,19,69
1414,1,19,23
1415,3,19,19
1416,2,19,102
1417,6,19,52
1418,3,19,90
1419,6,19,16
1420,1,19,141
1421,3,19,74
1422,4,19,125
1423,3,19,99
1424,3,19,42
1425,2,19,31
1426,6,19,100
1427,2,19,95
1428,2,19,121
1429,3,19,67
1430,2,19,11
1431,4,19,73
1432,1,19,111
1433,5,19,70
1434,2,19,58
1435,3,19,32
1436,1,19,144
1437,2,19,6
1438,2,19,124
1439,2,19,22
1440,1,19,140
1441,6,19,66
1442,1,19,118
1443,2,19,3
1444,5,19,41
1445,2,19,30
1446,1,19,137
1447,2,19,40
1448,1,19,123
1449,3,19,45
1450,2,19,132
1451,1,19,127
1452,6,19,47
1453,2,19,98
1454,4,19,114
1455,2,19,68
1456,2,19,142
1457,2,19,76
1458,1,19,9
1459,1,19,12
1460,1,19,57
1461,1,19,20
1462,2,19,101
1463,1,19,4
1464,2,19,84
1465,2,19,91
1466,2,19,113
1467,1,19,55
1468,6,19,134
1469,2,19,37
1470,2,19,131
1471,3,19,109
1472,3,19,79
1473,1,19,128
1474,1,19,77
1475,1,19,39
1476,1,19,35
1477,1,19,5
1478,1,19,26
1479,1,19,106
1480,1,19,130
1481,2,19,108
1482,1,19,59
1483,1,19,104
1484,1,19,83
1485,2,19,46
1486,1,19,54
1487,1,20,103
1488,3,20,131
1489,2,20,66
1490,1,20,141
1491,5,20,45
1492,1,20,46
1493,2,20,114
1494,2,20,1
1495,5,20,102
1496,2,20,129
1497,1,20,10
1498,1,20,77
1499,1,20,72
1500,6,20,79
1501,1,20,82
1502,2,20,85
1503,2,20,51
1504,2,20,73
1505,2,20,42
1506,2,20,74
1507,2,20,5
1508,4,20,11
1509,1,20,22
1510,2,20,93
1511,1,20,32
1512,2,20,69
1513,1,20,17
1514,1,20,105
1515,2,20,8
1516,2,20,132
1517,2,20,29
1518,1,20,130
1519,2,20,37
1520,3,20,28
1521,1,20,115
1522,2,20,84
1523,4,20,9
1524,1,20,111
1525,1,20,30
1526,1,20,94
1527,2,20,109
1528,1,20,78
1529,1,20,67
1530,1,20,128
1531,2,20,19
1532,1,20,20
1533,2,20,47
1534,2,20,16
1535,2,20,26
1536,1,20,41
1537,1,20,121
1538,2,20,27
1539,1,20,137
1540,2,20,92
1541,1,20,134
1542,2,20,108
1543,1,20,98
1544,1,20,95
1545,1,20,13
1546,1,20,18
1547,1,20,62
1548,1,20,125
1549,1,20,61
1550,1,20,63
1551,2,21,83
1552,12,21,70
1553,1,21,110
1554,2,21,77
1555,1,21,71
1556,8,21,19
1557,1,21,9
1558,3,21,136
1559,3,21,96
1560,4,21,128
1561,4,21,117
1562,3,21,99
1563,1,21,73
1564,1,21,65
1565,1,21,46
1566,5,21,47
1567,2,21,86
1568,2,21,89
1569,1,21,10
1570,9,21,94
1571,6,21,45
1572,2,21,72
1573,1,21,79
1574,1,21,143
1575,2,21,41
1576,1,21,1
1577,13,21,98
1578,1,21,134
1579,2,21,32
1580,4,21,103
1581,11,21,101
1582,3,21,59
1583,5,21,142
1584,2,21,67
1585,6,21,28
1586,1,21,122
1587,4,21,26
1588,3,21,109
1589,2,21,137
1590,5,21,11
1591,4,21,111
1592,2,21,97
1593,3,21,33
1594,1,21,113
1595,1,21,40
1596,2,21,34
1597,1,21,104
1598,3,21,16
1599,1,21,76
1600,2,21,129
1601,2,21,18
1602,1,21,51
1603,2,21,6
1604,2,21,121
1605,3,21,140
1606,2,21,57
1607,1,21,39
1608,2,21,115
1609,1,21,5
1610,3,21,82
1611,1,21,74
1612,1,21,90
1613,3,21,80
1614,2,21,114
1615,5,21,108
1616,4,21,14
1617,2,21,133
1618,2,21,37
1619,1,21,95
1620,1,21,132
1621,1,21,138
1622,1,21,131
1623,1,21,31
1624,1,21,130
1625,1,21,102
1626,1,21,35
1627,3,21,62
1628,2,21,75
1629,2,21,124
1630,2,21,36
1631,1,21,100
1632,1,21,27
1633,1,21,25
1634,1,21,58
1635,1,21,84
1636,1,21,63
1637,1,21,85
1638,1,21,91
1639,1,21,50
1640,1,21,120
1641,1,21,44
1642,1,21,93
1643,3,22,94
1644,7,22,9
1645,4,22,75
1646,11,22,107
1647,3,22,73
1648,1,22,67
1649,1,22,58
1650,2,22,32
1651,8,22,137
1652,1,22,6
1653,4,22,113
1654,1,22,52
1655,2,22,129
1656,4,22,76
1657,1,22,109
1658,4,22,69
1659,4,22,59
1660,1,22,143
1661,3,22,90
1662,1,22,83
1663,4,22,14
